method,model_name,task_name,train_subset_size,seed,accuracy,majority_baseline,collapsed,trainable_parameters,peft_parameters,classifier_parameters,ia3_mode,elapsed_seconds,learning_rate,batch_size,max_length,warmup_ratio,max_grad_norm,bf16,num_train_epochs,seed_semantics
lora_ia3,bert-base-uncased,mrpc,320,37,0.7083333333333334,0.6838235294117647,False,324098,322560,1538,manual_hook,4.8,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora_ia3,bert-base-uncased,mrpc,320,41,0.7034313725490197,0.6838235294117647,False,324098,322560,1538,manual_hook,5.0,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora_ia3,bert-base-uncased,mrpc,1280,31,0.8186274509803921,0.6838235294117647,False,324098,322560,1538,manual_hook,23.3,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora_ia3,bert-base-uncased,mrpc,1280,37,0.7965686274509803,0.6838235294117647,False,324098,322560,1538,manual_hook,19.3,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora_ia3,bert-base-uncased,mrpc,1280,41,0.7941176470588235,0.6838235294117647,False,324098,322560,1538,manual_hook,24.3,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora_param_matched_r12,bert-base-uncased,mrpc,80,31,0.6838235294117647,0.6838235294117647,False,443906,442368,1538,,1.2,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora_param_matched_r12,bert-base-uncased,mrpc,80,37,0.6838235294117647,0.6838235294117647,False,443906,442368,1538,,1.3,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora_param_matched_r12,bert-base-uncased,mrpc,80,41,0.6838235294117647,0.6838235294117647,False,443906,442368,1538,,1.2,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora_param_matched_r12,bert-base-uncased,mrpc,320,31,0.696078431372549,0.6838235294117647,False,443906,442368,1538,,4.1,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora_param_matched_r12,bert-base-uncased,mrpc,320,37,0.7328431372549019,0.6838235294117647,False,443906,442368,1538,,5.4,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora_param_matched_r12,bert-base-uncased,mrpc,320,41,0.7058823529411765,0.6838235294117647,False,443906,442368,1538,,4.8,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
